년월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,공항,도착_출발,정기_부정기,여객_화물,유임승객(명),무임승객(명),환승객(명),직화물(kg),환적화물(kg),우편물(kg),수하물(kg)
Jan-24,AAR,OZ,아시아나항공,국제,SDJ,출발,정기,여객,2996,12,334,129,0,0,45611
Jan-24,AAR,OZ,아시아나항공,국제,SEA,도착,정기,화물,0,0,0,971064,266867,0,0
Jan-24,AAR,OZ,아시아나항공,국제,SEA,도착,정기,여객,2169,7,3879,37869,24650,0,187161
Jan-24,AAR,OZ,아시아나항공,국제,SEA,출발,정기,화물,0,0,0,6566,1601,0,0
Jan-24,AAR,OZ,아시아나항공,국제,SEA,출발,정기,여객,2445,24,3894,94416,77126,0,179991
Jan-24,AAR,OZ,아시아나항공,국제,SFO,도착,정기,화물,0,0,0,1032207,334934,0,0
Jan-24,AAR,OZ,아시아나항공,국제,SFO,도착,정기,여객,3992,25,4623,96014,8764,0,259840
Jan-24,AAR,OZ,아시아나항공,국제,SFO,출발,정기,화물,0,0,0,134776,103747,0,0
Jan-24,AAR,OZ,아시아나항공,국제,SFO,출발,정기,여객,4654,25,4441,142750,94251,0,238911
Jan-24,AAR,OZ,아시아나항공,국제,SGN,도착,정기,여객,11599,58,2354,340994,147048,0,293285
Jan-24,AAR,OZ,아시아나항공,국제,SGN,출발,정기,여객,12142,115,5862,395724,130977,1675,458045
Jan-24,AAR,OZ,아시아나항공,국제,SHA,도착,부정기,여객,134,0,2,0,0,0,1749
Jan-24,AAR,OZ,아시아나항공,국제,SIN,도착,정기,화물,0,0,0,417606,97497,0,0
Jan-24,AAR,OZ,아시아나항공,국제,SIN,도착,정기,여객,11813,32,890,398052,5017,27733,171483
Jan-24,AAR,OZ,아시아나항공,국제,SIN,출발,정기,화물,0,0,0,599269,425067,0,0
Jan-24,AAR,OZ,아시아나항공,국제,SIN,출발,정기,여객,15916,50,1487,400001,109113,1481,262031
Jan-24,AAR,OZ,아시아나항공,국제,SIN,출발,부정기,화물,0,0,0,26058,15391,527,0
Jan-24,AAR,OZ,아시아나항공,국제,SPN,도착,정기,여객,1629,14,521,446,42,0,30462
Jan-24,AAR,OZ,아시아나항공,국제,SPN,출발,정기,여객,1862,14,599,9655,663,0,33625
Jan-24,AAR,OZ,아시아나항공,국제,STN,출발,정기,화물,0,0,0,384673,346986,0,0
Jan-24,AAR,OZ,아시아나항공,국제,SYD,도착,정기,여객,9541,31,1762,106065,18654,0,191164
Jan-24,AAR,OZ,아시아나항공,국제,SYD,출발,정기,여객,10674,64,3390,142291,83155,7201,263718
Jan-24,AAR,OZ,아시아나항공,국제,TAO,도착,정기,여객,1683,14,967,31956,31116,0,61117
Jan-24,AAR,OZ,아시아나항공,국제,TAO,출발,정기,여객,1403,7,551,4712,2828,0,31231
Jan-24,AAR,OZ,아시아나항공,국제,TAS,도착,정기,여객,2322,19,659,703,0,0,109913
Jan-24,AAR,OZ,아시아나항공,국제,TAS,출발,정기,여객,2877,29,581,31079,24644,0,141619
Jan-24,AAR,OZ,아시아나항공,국제,TFU,도착,정기,여객,36,0,18,0,0,0,1005
Jan-24,AAR,OZ,아시아나항공,국제,TPE,도착,정기,여객,17164,40,562,338545,86965,0,227127
Jan-24,AAR,OZ,아시아나항공,국제,TPE,출발,정기,여객,17666,45,352,359368,24176,2076,210759
Jan-24,AAR,OZ,아시아나항공,국제,TSN,도착,정기,화물,0,0,0,392741,195602,124845,0
Jan-24,AAR,OZ,아시아나항공,국제,TSN,출발,정기,화물,0,0,0,249207,188788,0,0
Jan-24,AAR,OZ,아시아나항공,국제,UBJ,도착,부정기,여객,1698,1,0,0,0,0,17450
Jan-24,AAR,OZ,아시아나항공,국제,UBJ,출발,부정기,여객,1832,1,0,0,0,0,13858
Jan-24,AAR,OZ,아시아나항공,국제,UBN,도착,정기,여객,1288,9,588,1051,160,0,35927
Jan-24,AAR,OZ,아시아나항공,국제,UBN,출발,정기,여객,1492,15,563,515,515,0,55039
