년도,월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,노선,국가,공항,도착_출발,정기_부정기,여객_화물,운항(편),유임승객(명),무임승객(명),환승객(명),직화물(kg),환적화물(kg),우편물(kg),수하물(kg)
2025,01,AAR,OZ,아시아나항공,국제,미주,미국,ORD,출발,부정기,화물,8,0,0,0,194049,601479,0,0
2025,01,AAR,OZ,아시아나항공,국제,미주,미국,SEA,도착,정기,화물,18,0,0,0,547414,257708,0,0
2025,01,AAR,OZ,아시아나항공,국제,미주,미국,SEA,도착,정기,여객,31,2247,12,6298,35308,13026,0,251101
2025,01,AAR,OZ,아시아나항공,국제,미주,미국,SEA,출발,정기,화물,18,0,0,0,0,5064,0,0
2025,01,AAR,OZ,아시아나항공,국제,미주,미국,SEA,출발,정기,여객,31,2787,24,5957,63983,74300,0,226438
2025,01,AAR,OZ,아시아나항공,국제,미주,미국,SFO,도착,정기,화물,26,0,0,0,744161,374933,0,0
2025,01,AAR,OZ,아시아나항공,국제,미주,미국,SFO,도착,정기,여객,44,4605,16,7333,51266,28109,0,351773
2025,01,AAR,OZ,아시아나항공,국제,미주,미국,SFO,출발,정기,화물,26,0,0,0,25770,173753,0,0
2025,01,AAR,OZ,아시아나항공,국제,미주,미국,SFO,출발,정기,여객,45,5221,26,7900,199666,137483,0,318091
2025,01,AAR,OZ,아시아나항공,국제,유럽,독일,FRA,도착,정기,화물,26,0,0,0,1241104,246696,0,0
2025,01,AAR,OZ,아시아나항공,국제,유럽,독일,FRA,도착,정기,여객,24,5736,13,213,126377,12723,0,116133
2025,01,AAR,OZ,아시아나항공,국제,유럽,독일,FRA,출발,정기,화물,26,0,0,0,356433,947385,3237,0
2025,01,AAR,OZ,아시아나항공,국제,유럽,독일,FRA,출발,정기,여객,23,6167,23,512,27616,87065,9131,136012
2025,01,AAR,OZ,아시아나항공,국제,유럽,벨기에,BRU,도착,정기,화물,13,0,0,0,416126,172292,0,0
2025,01,AAR,OZ,아시아나항공,국제,유럽,벨기에,BRU,출발,정기,화물,13,0,0,0,0,0,0,0
2025,01,AAR,OZ,아시아나항공,국제,유럽,스페인,BCN,도착,정기,여객,22,6068,5,175,45764,78253,0,112414
2025,01,AAR,OZ,아시아나항공,국제,유럽,스페인,BCN,출발,정기,여객,22,6408,4,124,39506,32344,0,102825
2025,01,AAR,OZ,아시아나항공,국제,유럽,영국,LHR,도착,정기,여객,21,4541,12,587,105385,20387,0,97931
2025,01,AAR,OZ,아시아나항공,국제,유럽,영국,LHR,출발,정기,여객,22,5636,12,972,48114,54379,8047,128244
2025,01,AAR,OZ,아시아나항공,국제,유럽,영국,STN,출발,정기,화물,0,0,0,0,62875,398916,0,0
2025,01,AAR,OZ,아시아나항공,국제,유럽,오스트리아,VIE,출발,정기,화물,0,0,0,0,254648,387254,0,0
2025,01,AAR,OZ,아시아나항공,국제,유럽,이탈리아,FCO,도착,정기,여객,22,5605,3,388,70558,0,0,106868
2025,01,AAR,OZ,아시아나항공,국제,유럽,이탈리아,FCO,출발,정기,여객,21,5678,2,407,7519,64595,0,98319
2025,01,AAR,OZ,아시아나항공,국제,유럽,이탈리아,MXP,도착,정기,화물,8,0,0,0,214031,121230,0,0
2025,01,AAR,OZ,아시아나항공,국제,유럽,이탈리아,MXP,출발,정기,화물,9,0,0,0,57059,443447,0,0
2025,01,AAR,OZ,아시아나항공,국제,유럽,프랑스,CDG,도착,정기,여객,26,6284,13,524,181640,27092,0,129902
2025,01,AAR,OZ,아시아나항공,국제,유럽,프랑스,CDG,출발,정기,여객,27,7500,9,621,53396,95181,6408,148529
2025,01,AAR,OZ,아시아나항공,국제,유럽,우즈베키스탄,TAS,도착,정기,여객,13,2339,22,717,28,0,0,101564
2025,01,AAR,OZ,아시아나항공,국제,유럽,우즈베키스탄,TAS,출발,정기,여객,14,3208,37,518,20270,11468,0,146887
2025,01,AAR,OZ,아시아나항공,국제,유럽,카자흐스탄,ALA,도착,정기,여객,12,1400,8,327,5226,0,0,31143
2025,01,AAR,OZ,아시아나항공,국제,유럽,카자흐스탄,ALA,출발,정기,화물,0,0,0,0,6892,23849,148,0
2025,01,AAR,OZ,아시아나항공,국제,유럽,카자흐스탄,ALA,출발,정기,여객,12,1969,21,471,60492,25975,2299,57186
2025,01,AAR,OZ,아시아나항공,국제,유럽,터키,IST,도착,정기,여객,13,3490,3,160,35494,27603,0,62189
2025,01,AAR,OZ,아시아나항공,국제,유럽,터키,IST,출발,정기,여객,14,3899,3,110,36896,78833,386,64016
2025,01,AAR,OZ,아시아나항공,국제,대양주,호주,MEL,도착,부정기,여객,9,2436,28,88,20865,35899,0,44931
2025,01,AAR,OZ,아시아나항공,국제,대양주,호주,MEL,출발,부정기,여객,9,2733,17,31,11360,6945,833,56850
2025,01,AAR,OZ,아시아나항공,국제,대양주,호주,SYD,도착,정기,여객,31,10432,45,1741,83845,3273,0,204877
2025,01,AAR,OZ,아시아나항공,국제,대양주,호주,SYD,출발,정기,여객,31,12569,54,2552,72752,57097,3929,269443
2025,01,AAR,OZ,아시아나항공,국제,대양주,하와이,HNL,도착,정기,여객,21,3502,13,2167,0,13279,0,122495
2025,01,AAR,OZ,아시아나항공,국제,대양주,하와이,HNL,출발,정기,여객,22,4574,18,1952,103140,12195,0,119935
2025,01,AAR,OZ,아시아나항공,국제,기타,이집트,CAI,도착,정기,여객,10,2704,0,15,0,0,0,45849
2025,01,AAR,OZ,아시아나항공,국제,기타,이집트,CAI,출발,정기,여객,9,2468,0,62,32643,7280,0,40983
2025,01,ABL,BX,에어 부산,국제,일본,일본,CTS,도착,정기,여객,31,6592,3,0,0,0,0,84815
2025,01,ABL,BX,에어 부산,국제,일본,일본,CTS,출발,정기,여객,31,6449,2,0,0,0,0,62755
